age,gender,income_inr,city,employment_type,work_hours_per_day,commute_minutes,dinners_cooked_per_week,enjoy_cooking,cooking_skill_rating,cooking_challenges,dinner_time_hour,primary_cook,favorite_cuisines,meal_type_pref,non_veg_freq_per_week,dietary_goals,allergies,healthy_importance_rating,track_macros,orders_outside_per_week,spend_outside_per_meal_inr,willing_to_pay_mealkit_inr,payment_mode,priority_taste,priority_price,priority_nutrition,priority_ease_of_cooking,priority_time_to_prepare,priority_health,priority_time_savings,priority_convenience,priority_variety,priority_affordability,subscribe_try,delivery_pref,meals_per_week_subscription,desired_features,continue_service,refer_service,incentive_pref,healthy_brand_association,additional_needs
34,Male,75695,Delhi NCR,Part-time,9,5,6,Yes,4,"No time,No skills,Too tired,Don't enjoy it",21.5,Self,"Chinese,Fusion,Vegan,Continental,Keto/High-protein,Mexican,Thai,Asian",Vegetarian,2,"Gluten-free,Low-calorie,Diabetes-friendly,Low-carb,Immune boost,Weight loss,Balanced meals","Lactose,Nuts",3,Never,0,322,400,Wallets,4,1,3,2,5,5,2,3,1,4,Maybe,Weekly batch,1,"Easy cooking,Recipe variety,Family plans,Customizable,Fast delivery",Maybe,Definitely,Free meals,FreshMenu,Reusable packaging
38,Male,63413,Mumbai,Student,8,5,2,Only on weekends,5,"Waste of ingredients,No time,Too tired,Portioning issues,Don't enjoy it",20.2,Parent,"South Indian,Chinese,Healthy Superfoods,Italian,Fusion,Vegan",Eggetarian,6,"Diabetes-friendly,Low-calorie,Immune boost,Low-carb,Gut health,Gluten-free,Sustainable eating","Eggs,Soy",3,Regularly,2,146,350,Wallets,1,5,4,3,2,5,1,2,3,4,Maybe,Daily,6,"Loyalty points,Family plans,Fast delivery,Nutrition labels",Definitely,Definitely,Discounts,Subway,Calorie tracker
21,Male,63886,Delhi NCR,Student,7,6,3,Yes,5,"Cleaning up,Waste of ingredients,Not cost-effective,No time",20.8,Hired help,"Chinese,North Indian,Keto/High-protein,South Indian,Vegan,Italian",Eggetarian,1,"Diabetes-friendly,Immune boost,Sustainable eating,Muscle gain,Gut health,Quick meal-prep,Low-calorie,Gluten-free","Gluten,Eggs",2,Never,6,243,400,Debit Card,5,4,1,3,2,1,3,5,4,2,Definitely,Daily,2,"Nutrition labels,Fast delivery,Easy cooking,Family plans",Definitely,Maybe,Discounts,None,Calorie tracker
19,Prefer not to say,62192,Bangalore,Freelancer,9,14,3,No,4,"No skills,No time,Portioning issues,Waste of ingredients",19.5,Self,"Chinese,Keto/High-protein,Vegan,Mexican,Asian",Eggetarian,2,"Sustainable eating,Low-carb,High-protein,Immune boost,Quick meal-prep,Weight loss","Eggs,Lactose,None",2,Regularly,7,308,300,Credit Card,1,2,4,5,3,3,4,2,5,1,Definitely,Weekly batch,2,"App-based tracking,Loyalty points,Nutrition labels,Fast delivery",Definitely,Definitely,Free meals,None,Calorie tracker
25,Male,92972,Mumbai,Full-time,8,23,1,Only on weekends,2,"Cleaning up,No time,No skills,Too tired,Waste of ingredients,Grocery hassle,No ideas,Not cost-effective",20.2,Hired help,"Thai,Continental,Asian,Keto/High-protein,Mexican",Mixed,1,"Sustainable eating,Quick meal-prep,Gut health,High-protein",Eggs,2,Occasionally,2,218,250,UPI,3,5,1,2,4,5,1,3,2,4,Unlikely,3x/week,3,"Easy cooking,Loyalty points,No cleanup,Cancel-anytime",Definitely,Definitely,Free meals,FreshMenu,Reusable packaging
31,Non-binary,64622,Pune,Full-time,8,48,0,Yes,2,"No ideas,Not cost-effective,Portioning issues,Grocery hassle,No time,Waste of ingredients",21.3,Partner,"North Indian,Italian,Healthy Superfoods,Vegan,Asian,Chinese,South Indian,Keto/High-protein",Mixed,5,"Gluten-free,Low-carb,Gut health,High-protein","Eggs,Soy",5,Never,3,202,200,Credit Card,1,2,3,4,5,2,3,1,4,5,Unlikely,On-demand,2,"Cancel-anytime,Fast delivery,Family plans,Recipe variety,Easy cooking",Definitely,Maybe,Free meals,Subway,Reusable packaging
33,Non-binary,36530,Bangalore,Student,7,69,6,Yes,3,"Cleaning up,Grocery hassle,No time,Not cost-effective,Don't enjoy it",20.2,Hired help,"Healthy Superfoods,Vegan,South Indian,Continental,Chinese,Asian,North Indian",Eggetarian,0,"Muscle gain,Gut health,Low-carb,Gluten-free,Balanced meals,Weight loss,Immune boost,Diabetes-friendly","Nuts,Lactose,None",5,Occasionally,6,317,250,Wallets,5,2,1,4,3,2,3,5,1,4,Definitely,On-demand,7,"App-based tracking,Fast delivery,Cancel-anytime,Customizable,Recipe variety,Easy cooking,Loyalty points,No cleanup",Definitely,Definitely,Not important,None,Reusable packaging
37,Female,53431,Delhi NCR,Part-time,6,6,7,No,1,"Portioning issues,Too tired,Cleaning up,Don't enjoy it,Not cost-effective,No skills,Grocery hassle",19.5,Self,"Continental,Chinese,Asian,Vegan",Eggetarian,0,"Low-carb,High-protein,Sustainable eating,Diabetes-friendly,Quick meal-prep,Gluten-free,Low-calorie,Balanced meals","Nuts,Soy,Eggs",5,Occasionally,2,384,400,Wallets,2,3,4,5,1,3,4,1,2,5,Definitely,Weekly batch,5,"No cleanup,App-based tracking,Customizable,Cancel-anytime",Maybe,Maybe,Discounts,EatFit,None
34,Prefer not to say,39520,Mumbai,Freelancer,9,5,6,Yes,5,"Not cost-effective,No time,Waste of ingredients,No ideas,Too tired,Cleaning up,No skills",19.6,Hired help,"Mexican,North Indian,Continental,Italian,Healthy Superfoods,Vegan,South Indian",Eggetarian,2,"Muscle gain,Weight loss,Balanced meals,Gut health,High-protein,Gluten-free,Low-carb,Sustainable eating","Gluten,Lactose",3,Occasionally,3,346,300,Debit Card,4,3,2,5,1,4,1,3,5,2,Definitely,Daily,7,"Nutrition labels,Customizable,Loyalty points,Recipe variety",Definitely,Definitely,Discounts,EatFit,More vegan options
37,Female,114406,Delhi NCR,Consultant,10,5,5,Yes,2,"No skills,No time,Grocery hassle,Not cost-effective,Waste of ingredients,Too tired",19.2,Partner,"Healthy Superfoods,Fusion,Chinese,South Indian",Mixed,1,"Weight loss,Gluten-free,Muscle gain,Balanced meals,Gut health,Immune boost,Low-calorie,Diabetes-friendly",Soy,4,Regularly,5,275,400,Wallets,4,2,3,5,1,4,5,3,2,1,Unlikely,Daily,3,"Customizable,Cancel-anytime,Recipe variety,No cleanup,Nutrition labels,App-based tracking,Loyalty points",Definitely,Definitely,Free meals,Subway,Reusable packaging
